,Product,Category,BrandId,1694272952,1694359352,1694364924,1694396499,1694437825,1694443261,1694452988,1694525685,1694569276,1694610628,1694655595,1694697000,1694742115,1694783365,1694828297,1694869577,1694915016,1694955980,1695001267,1695042554
0,RASPBERRY PASSION,Jam/Jelly,b_safha8gtmr,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,FIG APRICOT SPICES & PISTACHIOS,Jam/Jelly,b_safha8gtmr,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,THREE RED FRUITS,Jam/Jelly,b_safha8gtmr,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,APRICOT,Jam/Jelly,b_safha8gtmr,290,290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Key Lime & Meyer Lemon Balsawood Duo,Jam/Jelly,b_b7bsats4,796,796,796.0,796.0,796.0,796.0,,,,,,,,796.0,796.0,796.0,796.0,,,796.0
5,Strawberry-Poppy Jam,Jam/Jelly,b_bk2kncesz6,572,572,572.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,
6,Strawberry-Champagne-Poppy Jam x Moulin Rouge,Jam/Jelly,b_bk2kncesz6,422,422,422.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0
7,Raspberry-Macaroon Jam,Jam/Jelly,b_bk2kncesz6,230,230,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0
8,Meyer Lemon + Lavender Jelly,Jam/Jelly,b_edpo1lwf9q,106,106,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,90.0,90.0,90.0,90.0,90.0,84.0,84.0,84.0
9,Nasturtium Floral Jelly,Jam/Jelly,b_edpo1lwf9q,335,335,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,,284.0,284.0,284.0,284.0,284.0,284.0,284.0
10,Lemon Verbena + Dill Blossom,Jam/Jelly,b_edpo1lwf9q,,,90.0,,,,90.0,90.0,90.0,90.0,90.0,90.0,4.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
11,Raspberry Fruit Spread,Jam/Jelly,b_5tan9mmd5e,44,47,47.0,47.0,47.0,47.0,46.0,46.0,33.0,32.0,32.0,32.0,530.0,530.0,528.0,528.0,527.0,526.0,526.0,526.0
12,Apple Butter Fruit Spread,Jam/Jelly,b_5tan9mmd5e,171,171,171.0,171.0,171.0,171.0,168.0,168.0,166.0,164.0,164.0,164.0,149.0,149.0,148.0,148.0,143.0,142.0,140.0,140.0
13,Strawberry Fruit Spread,Jam/Jelly,b_5tan9mmd5e,199,195,195.0,195.0,195.0,195.0,191.0,191.0,183.0,180.0,180.0,180.0,676.0,676.0,663.0,663.0,659.0,658.0,657.0,657.0
